type,x1,x2,f1,f2
final,0.708594,0.707305,0.000002,0.981772
final,-0.708653,-0.708243,0.981823,0.000004
final,0.290902,0.271772,0.304235,0.858326
final,-0.156930,-0.271963,0.818253,0.388625
final,0.060863,-0.005581,0.603689,0.661054
final,0.272369,0.239706,0.334663,0.843676
final,0.290902,0.376149,0.246299,0.885761
final,-0.369803,-0.270080,0.879322,0.262704
final,0.118113,0.127174,0.495019,0.747669
final,-0.189288,-0.193794,0.801138,0.412351
final,0.060863,-0.039836,0.623017,0.644783
final,-0.006386,0.085965,0.591347,0.673711
final,-0.074740,-0.112085,0.722618,0.529490
final,0.127513,0.089386,0.512033,0.735785
final,0.280501,0.340956,0.270983,0.874294
final,-0.156930,-0.131243,0.765287,0.469700
final,-0.022330,-0.028867,0.658270,0.605023
final,-0.510687,-0.358096,0.927028,0.148188
final,-0.571064,-0.458674,0.949851,0.077093
final,-0.076525,-0.153216,0.741855,0.505609
final,0.201495,0.113812,0.455366,0.776750
final,-0.031440,-0.040840,0.668748,0.593608
final,-0.265015,-0.273958,0.851550,0.318230
final,-0.056637,-0.153216,0.733787,0.518046
final,-0.334289,-0.243477,0.863046,0.298087
final,0.064716,0.094241,0.545369,0.709999
final,-0.361327,-0.243477,0.870640,0.284316
final,-0.196194,-0.256335,0.825210,0.371379
final,0.010165,0.094561,0.577236,0.685619
final,0.050471,0.089386,0.556364,0.701303
final,-0.218616,-0.270080,0.836650,0.349240
final,0.015053,-0.009635,0.629409,0.635045
final,0.255840,0.239706,0.344335,0.838576
final,0.531300,0.623579,0.037176,0.963278
final,-0.031440,-0.097302,0.696546,0.563247
final,-0.561100,-0.590464,0.962822,0.034321
final,0.141756,0.127174,0.481048,0.757461
final,0.311068,0.284256,0.285126,0.867276
final,0.531300,0.338172,0.153818,0.927651
final,-0.362022,-0.302992,0.885059,0.246022
final,0.198816,0.138043,0.441328,0.784539
final,-0.510164,-0.396683,0.932801,0.126415
final,0.499940,0.608932,0.051199,0.958784
final,0.164686,0.211372,0.417236,0.798834
final,-0.013699,-0.014068,0.646423,0.617535
final,-0.031440,-0.062494,0.679456,0.581907
final,-0.493049,-0.582771,0.955138,0.059440
final,-0.013699,-0.002993,0.640774,0.623407
final,-0.201873,-0.062494,0.757930,0.488694
final,0.375842,0.415492,0.176981,0.912227
final,0.606757,0.376149,0.112727,0.944959
final,0.313091,0.376149,0.232626,0.890764
final,-0.212873,-0.256335,0.830446,0.360751
final,0.152673,0.241683,0.407862,0.805908
final,-0.243989,-0.268033,0.843622,0.334531
final,-0.156930,-0.097302,0.751828,0.490618
final,0.690425,0.681126,0.000953,0.979355
final,0.198816,0.271772,0.361016,0.831176
final,-0.369803,-0.367472,0.901180,0.204772
final,0.152673,0.138043,0.468063,0.766249
final,0.621829,0.599552,0.018664,0.968989
final,0.103494,0.094561,0.522676,0.727399
final,0.085566,0.094561,0.533046,0.719449
final,0.331534,0.376149,0.221657,0.894834
final,-0.201873,-0.169394,0.796990,0.419808
final,0.290902,0.445457,0.214698,0.902160
final,0.171758,0.239706,0.396532,0.811538
final,-0.561100,-0.609992,0.964673,0.030281
final,-0.201873,-0.152031,0.790779,0.430713
final,-0.381331,-0.302992,0.889749,0.236192
final,-0.580671,-0.708243,0.974308,0.015860
final,0.552981,0.438415,0.091490,0.944979
final,0.306914,0.445457,0.204365,0.905262
final,-0.510687,-0.460795,0.941983,0.094484
final,0.198816,0.239706,0.379248,0.820423
final,0.499940,0.338172,0.163920,0.921885
final,-0.019857,-0.131243,0.708089,0.552434
final,0.552981,0.464240,0.079409,0.948175
final,-0.198123,-0.112085,0.774744,0.458339
final,-0.265015,-0.259752,0.847385,0.326705
final,-0.570193,-0.708243,0.973608,0.018572
final,-0.698099,-0.708243,0.981274,0.000082
final,0.118113,0.239706,0.431854,0.793497
final,-0.392874,-0.370616,0.906654,0.191010
final,0.552981,0.376149,0.124787,0.936788
final,-0.493049,-0.576086,0.954359,0.061045
final,-0.369803,-0.461601,0.919991,0.159743
final,0.483308,0.338172,0.169892,0.918707
final,0.499940,0.388277,0.134606,0.929829
final,0.025989,0.094561,0.567915,0.692752
final,-0.031440,-0.081343,0.688733,0.571774
final,0.378654,0.383781,0.191376,0.906418
final,0.606757,0.599552,0.021406,0.967729
final,-0.478552,-0.461601,0.937442,0.106412
final,0.190435,0.094561,0.473846,0.765019
final,-0.344473,-0.442273,0.911689,0.182611
final,-0.347526,-0.243477,0.866794,0.291249
final,-0.201873,-0.131243,0.783264,0.443941
final,0.269715,0.338172,0.279222,0.870851
final,0.214678,0.241683,0.368152,0.826207
